planner_name,case_id,case_name,purpose,tier,enable_move_rotate,success,planning_time_sec,num_robots,makespan,sum_of_costs,total_wait,total_move,total_rotate,total_move_rotate,notes,R0_cost,R0_num_states,R0_num_transitions,R0_wait,R0_move,R0_rotate,R0_move_rotate,R1_cost,R1_num_states,R1_num_transitions,R1_wait,R1_move,R1_rotate,R1_move_rotate,R2_cost,R2_num_states,R2_num_transitions,R2_wait,R2_move,R2_rotate,R2_move_rotate
CBS+A*,case_01,Case 01: rotation only,回転単体確認,Tier 1: primitive sanity,False,True,0.006778199982363731,1,2.3,2.3,0,0,2,0,,2.3,3,2,0,0,2,0,,,,,,,,,,,,,,
CBS+A*,case_01,Case 01: rotation only,回転単体確認,Tier 1: primitive sanity,True,True,0.03479850001167506,1,2.3,2.3,0,0,2,0,,2.3,3,2,0,0,2,0,,,,,,,,,,,,,,
CBS+A*,case_02,Case 02: move+rotate,move+rotate 単体効果,Tier 1: primitive sanity,False,True,0.006285800016485155,1,3.15,3.15,0,2,1,0,,3.15,4,3,0,2,1,0,,,,,,,,,,,,,,
CBS+A*,case_02,Case 02: move+rotate,move+rotate 単体効果,Tier 1: primitive sanity,True,True,0.03446490003261715,1,2.05,2.05,0,1,0,1,,2.05,3,2,0,1,0,1,,,,,,,,,,,,,,
CBS+A*,case_03,Case 03: two robot corridor,単純な2台対向協調,Tier 2: simple coordination,False,True,0.026908400002866983,2,6.0,10.0,0,10,0,0,,4.0,5,4,0,4,0,0,6.0,7,6,0,6,0,0,,,,,,,
CBS+A*,case_03,Case 03: two robot corridor,単純な2台対向協調,Tier 2: simple coordination,True,True,0.18610759999137372,2,6.0,10.0,0,10,0,0,,4.0,5,4,0,4,0,0,6.0,7,6,0,6,0,0,,,,,,,
CBS+A*,case_04,Case 04: two robot with obstacle wall,障害物あり協調,Tier 3: obstacle helpful,False,True,0.011650300002656877,2,9.15,18.3,0,16,2,0,,9.15,10,9,0,8,1,0,9.15,10,9,0,8,1,0,,,,,,,
CBS+A*,case_04,Case 04: two robot with obstacle wall,障害物あり協調,Tier 3: obstacle helpful,True,True,0.04407359997276217,2,8.05,16.1,0,14,0,2,,8.05,9,8,0,7,0,1,8.05,9,8,0,7,0,1,,,,,,,
CBS+A*,case_a,Case A: move+rotate helpful,move+rotate 有効例,Tier 3: obstacle helpful,False,True,0.008608400006778538,1,7.15,7.15,0,6,1,0,,7.15,8,7,0,6,1,0,,,,,,,,,,,,,,
CBS+A*,case_a,Case A: move+rotate helpful,move+rotate 有効例,Tier 3: obstacle helpful,True,True,0.038061800005380064,1,6.05,6.05,0,5,0,1,,6.05,7,6,0,5,0,1,,,,,,,,,,,,,,
CBS+A*,case_b,Case B: move+rotate likely unhelpful,move+rotate 不要例,Tier 2: simple coordination,False,True,0.006666300003416836,2,6.0,12.0,0,12,0,0,,6.0,7,6,0,6,0,0,6.0,7,6,0,6,0,0,,,,,,,
CBS+A*,case_b,Case B: move+rotate likely unhelpful,move+rotate 不要例,Tier 2: simple coordination,True,True,0.03720909997355193,2,6.0,12.0,0,12,0,0,,6.0,7,6,0,6,0,0,6.0,7,6,0,6,0,0,,,,,,,
CBS+A*,case_c,Case C: coordination sensitive,干渉が強い協調ケース,Tier 4: hard coordination,False,True,2.3821327000041492,2,10.0,16.0,4,12,0,0,,10.0,11,10,4,6,0,0,6.0,7,6,0,6,0,0,,,,,,,
