planner_name,case_id,case_name,purpose,tier,enable_move_rotate,success,planning_time_sec,num_robots,makespan,sum_of_costs,total_wait,total_move,total_rotate,total_move_rotate,notes,R0_cost,R0_num_states,R0_num_transitions,R0_wait,R0_move,R0_rotate,R0_move_rotate,R1_cost,R1_num_states,R1_num_transitions,R1_wait,R1_move,R1_rotate,R1_move_rotate
CBS+A*,case_01,Case 01: rotation only,回転単体確認,Tier 1: primitive sanity,False,True,0.006398199999239296,1,2.3,2.3,0,0,2,0,,2.3,3,2,0,0,2,0,,,,,,,
CBS+A*,case_01,Case 01: rotation only,回転単体確認,Tier 1: primitive sanity,True,True,0.03453720000106841,1,2.3,2.3,0,0,2,0,,2.3,3,2,0,0,2,0,,,,,,,
CBS+A*,case_02,Case 02: move+rotate,move+rotate 単体効果,Tier 1: primitive sanity,False,True,0.006451399996876717,1,3.15,3.15,0,2,1,0,,3.15,4,3,0,2,1,0,,,,,,,
CBS+A*,case_02,Case 02: move+rotate,move+rotate 単体効果,Tier 1: primitive sanity,True,True,0.035041099996306,1,2.05,2.05,0,1,0,1,,2.05,3,2,0,1,0,1,,,,,,,
CBS+A*,case_03,Case 03: two robot corridor,単純な2台対向協調,Tier 2: simple coordination,False,True,0.026928399980533868,2,6.0,10.0,0,10,0,0,,4.0,5,4,0,4,0,0,6.0,7,6,0,6,0,0
CBS+A*,case_03,Case 03: two robot corridor,単純な2台対向協調,Tier 2: simple coordination,True,True,0.1854707999737002,2,6.0,10.0,0,10,0,0,,4.0,5,4,0,4,0,0,6.0,7,6,0,6,0,0
CBS+A*,case_04,Case 04: two robot with obstacle wall,障害物あり協調,Tier 3: obstacle helpful,False,True,0.01604729995597154,2,9.15,18.3,0,16,2,0,,9.15,10,9,0,8,1,0,9.15,10,9,0,8,1,0
CBS+A*,case_04,Case 04: two robot with obstacle wall,障害物あり協調,Tier 3: obstacle helpful,True,True,0.04715240001678467,2,8.05,16.1,0,14,0,2,,8.05,9,8,0,7,0,1,8.05,9,8,0,7,0,1
CBS+A*,case_a,Case A: move+rotate helpful,move+rotate 有効例,Tier 3: obstacle helpful,False,True,0.00873860000865534,1,7.15,7.15,0,6,1,0,,7.15,8,7,0,6,1,0,,,,,,,
CBS+A*,case_a,Case A: move+rotate helpful,move+rotate 有効例,Tier 3: obstacle helpful,True,True,0.037889599974732846,1,6.05,6.05,0,5,0,1,,6.05,7,6,0,5,0,1,,,,,,,
CBS+A*,case_b,Case B: move+rotate likely unhelpful,move+rotate 不要例,Tier 2: simple coordination,False,True,0.0071267999592237175,2,6.0,12.0,0,12,0,0,,6.0,7,6,0,6,0,0,6.0,7,6,0,6,0,0
CBS+A*,case_b,Case B: move+rotate likely unhelpful,move+rotate 不要例,Tier 2: simple coordination,True,True,0.037771200004499406,2,6.0,12.0,0,12,0,0,,6.0,7,6,0,6,0,0,6.0,7,6,0,6,0,0
CBS+A*,case_c,Case C: coordination sensitive,干渉が強い協調ケース,Tier 4: hard coordination,False,True,2.398126100015361,2,10.0,16.0,4,12,0,0,,10.0,11,10,4,6,0,0,6.0,7,6,0,6,0,0
CBS+A*,case_c,Case C: coordination sensitive,干渉が強い協調ケース,Tier 4: hard coordination,True,True,46.818284400040284,2,10.2,14.2,0,10,0,4,,4.0,5,4,0,4,0,0,10.2,11,10,0,6,0,4
