planner_name,case_id,case_name,purpose,tier,enable_move_rotate,success,planning_time_sec,num_robots,makespan,sum_of_costs,total_wait,total_move,total_rotate,total_move_rotate,notes,R0_cost,R0_num_states,R0_num_transitions,R0_wait,R0_move,R0_rotate,R0_move_rotate,R1_cost,R1_num_states,R1_num_transitions,R1_wait,R1_move,R1_rotate,R1_move_rotate,R2_cost,R2_num_states,R2_num_transitions,R2_wait,R2_move,R2_rotate,R2_move_rotate
OrientationLaCAM,case_01,Case 01: rotation only,回転単体確認,Tier 1: primitive sanity,False,True,0.006706500018481165,1,2.3,2.3,0,0,2,0,solved | orientation_lacam_v2,2.3,3,2,0,0,2,0,,,,,,,,,,,,,,
OrientationLaCAM,case_01,Case 01: rotation only,回転単体確認,Tier 1: primitive sanity,True,True,0.037098800006788224,1,2.3,2.3,0,0,2,0,solved | orientation_lacam_v2,2.3,3,2,0,0,2,0,,,,,,,,,,,,,,
OrientationLaCAM,case_02,Case 02: move+rotate,move+rotate 単体効果,Tier 1: primitive sanity,False,True,0.0069923000410199165,1,3.15,3.15,0,2,1,0,solved | orientation_lacam_v2,3.15,4,3,0,2,1,0,,,,,,,,,,,,,,
OrientationLaCAM,case_02,Case 02: move+rotate,move+rotate 単体効果,Tier 1: primitive sanity,True,True,0.047622299985960126,1,2.05,2.05,0,1,0,1,solved | orientation_lacam_v2,2.05,3,2,0,1,0,1,,,,,,,,,,,,,,
OrientationLaCAM,case_03,Case 03: two robot corridor,単純な2台対向協調,Tier 2: simple coordination,False,True,0.030677600007038563,2,6.0,12.0,2,10,0,0,solved | orientation_lacam_v2,6.0,7,6,2,4,0,0,6.0,7,6,0,6,0,0,,,,,,,
OrientationLaCAM,case_03,Case 03: two robot corridor,単純な2台対向協調,Tier 2: simple coordination,True,True,0.1412457999540493,2,6.0,12.0,2,10,0,0,solved | orientation_lacam_v2,6.0,7,6,2,4,0,0,6.0,7,6,0,6,0,0,,,,,,,
OrientationLaCAM,case_04,Case 04: two robot with obstacle wall,障害物あり協調,Tier 3: obstacle helpful,False,True,0.659979599993676,2,11.15,22.3,2,18,2,0,solved | orientation_lacam_v2,11.15,12,11,0,10,1,0,11.15,12,11,2,8,1,0,,,,,,,
OrientationLaCAM,case_04,Case 04: two robot with obstacle wall,障害物あり協調,Tier 3: obstacle helpful,True,True,0.14721550000831485,2,9.15,18.299999999999997,2,10,0,6,solved | orientation_lacam_v2,9.15,10,9,1,5,0,3,9.149999999999999,10,9,1,5,0,3,,,,,,,
OrientationLaCAM,case_a,Case A: move+rotate helpful,move+rotate 有効例,Tier 3: obstacle helpful,False,True,0.007877600030042231,1,7.15,7.15,0,6,1,0,solved | orientation_lacam_v2,7.15,8,7,0,6,1,0,,,,,,,,,,,,,,
OrientationLaCAM,case_a,Case A: move+rotate helpful,move+rotate 有効例,Tier 3: obstacle helpful,True,True,0.03827090002596378,1,6.05,6.05,0,5,0,1,solved | orientation_lacam_v2,6.05,7,6,0,5,0,1,,,,,,,,,,,,,,
OrientationLaCAM,case_b,Case B: move+rotate likely unhelpful,move+rotate 不要例,Tier 2: simple coordination,False,True,0.0102259999839589,2,6.0,12.0,0,12,0,0,solved | orientation_lacam_v2,6.0,7,6,0,6,0,0,6.0,7,6,0,6,0,0,,,,,,,
OrientationLaCAM,case_b,Case B: move+rotate likely unhelpful,move+rotate 不要例,Tier 2: simple coordination,True,True,0.04227340000215918,2,6.0,12.0,0,12,0,0,solved | orientation_lacam_v2,6.0,7,6,0,6,0,0,6.0,7,6,0,6,0,0,,,,,,,
OrientationLaCAM,case_c,Case C: coordination sensitive,干渉が強い協調ケース,Tier 4: hard coordination,False,True,0.3167236000299454,2,10.0,20.0,2,18,0,0,solved | orientation_lacam_v2,10.0,11,10,2,8,0,0,10.0,11,10,0,10,0,0,,,,,,,
OrientationLaCAM,case_c,Case C: coordination sensitive,干渉が強い協調ケース,Tier 4: hard coordination,True,True,6.76029710000148,2,9.3,18.4,3,9,1,5,solved | orientation_lacam_v2,9.1,10,9,3,4,0,2,9.3,10,9,0,5,1,3,,,,,,,
OrientationLaCAM,case_d,Case D: 3-agent single bottleneck,3台が単一ボトルネックを共有し、通過順序で品質差が出るケース,Tier 4: hard coordination,False,False,7.42446629999904,3,,,,,,,max_high_level_expansions_exceeded | Exceeded max_high_level_expansions=20000,,,,,,,,,,,,,,,,,,,,,
OrientationLaCAM,case_d,Case D: 3-agent single bottleneck,3台が単一ボトルネックを共有し、通過順序で品質差が出るケース,Tier 4: hard coordination,True,False,8.728253300010692,3,,,,,,,max_high_level_expansions_exceeded | Exceeded max_high_level_expansions=20000,,,,,,,,,,,,,,,,,,,,,
OrientationLaCAM,case_e,Case E: 4-agent cross intersection,4方向から中央へ同時進入する十字交差ケース,Tier 4: hard coordination,False,False,18.148076399986167,4,,,,,,,max_high_level_expansions_exceeded | Exceeded max_high_level_expansions=20000,,,,,,,,,,,,,,,,,,,,,
OrientationLaCAM,case_e,Case E: 4-agent cross intersection,4方向から中央へ同時進入する十字交差ケース,Tier 4: hard coordination,True,False,15.708814800018445,4,,,,,,,max_high_level_expansions_exceeded | Exceeded max_high_level_expansions=20000,,,,,,,,,,,,,,,,,,,,,
OrientationLaCAM,case_f,Case F: pocket evacuation,退避ポケットを使うか待機するかで差が出るケース,Tier 4: hard coordination,False,True,1.4529345000046305,3,9.0,27.0,8,19,0,0,solved | orientation_lacam_v2,9.0,10,9,3,6,0,0,9.0,10,9,1,8,0,0,9.0,10,9,4,5,0,0
OrientationLaCAM,case_f,Case F: pocket evacuation,退避ポケットを使うか待機するかで差が出るケース,Tier 4: hard coordination,True,False,11.305359399993904,3,,,,,,,max_high_level_expansions_exceeded | Exceeded max_high_level_expansions=20000,,,,,,,,,,,,,,,,,,,,,
