planner_name,case_id,case_name,purpose,tier,enable_move_rotate,success,planning_time_sec,num_robots,makespan,sum_of_costs,total_wait,total_move,total_rotate,total_move_rotate,notes,R0_cost,R0_num_states,R0_num_transitions,R0_wait,R0_move,R0_rotate,R0_move_rotate,R1_cost,R1_num_states,R1_num_transitions,R1_wait,R1_move,R1_rotate,R1_move_rotate,R2_cost,R2_num_states,R2_num_transitions,R2_wait,R2_move,R2_rotate,R2_move_rotate
OrientationLaCAMV3,case_01,Case 01: rotation only,回転単体確認,Tier 1: primitive sanity,False,True,0.005922799988184124,1,2.3,2.3,0,0,2,0,solved | orientation_lacam_v3_single_agent_fast_path,2.3,3,2,0,0,2,0,,,,,,,,,,,,,,
OrientationLaCAMV3,case_01,Case 01: rotation only,回転単体確認,Tier 1: primitive sanity,True,True,0.035674599988851696,1,2.3,2.3,0,0,2,0,solved | orientation_lacam_v3_single_agent_fast_path,2.3,3,2,0,0,2,0,,,,,,,,,,,,,,
OrientationLaCAMV3,case_02,Case 02: move+rotate,move+rotate 単体効果,Tier 1: primitive sanity,False,True,0.006505299999844283,1,3.15,3.15,0,2,1,0,solved | orientation_lacam_v3_single_agent_fast_path,3.15,4,3,0,2,1,0,,,,,,,,,,,,,,
OrientationLaCAMV3,case_02,Case 02: move+rotate,move+rotate 単体効果,Tier 1: primitive sanity,True,True,0.03498779999790713,1,2.05,2.05,0,1,0,1,solved | orientation_lacam_v3_single_agent_fast_path,2.05,3,2,0,1,0,1,,,,,,,,,,,,,,
OrientationLaCAMV3,case_03,Case 03: two robot corridor,単純な2台対向協調,Tier 2: simple coordination,False,True,0.020621600036974996,2,6.0,12.0,2,10,0,0,solved | orientation_lacam_v3,6.0,7,6,2,4,0,0,6.0,7,6,0,6,0,0,,,,,,,
OrientationLaCAMV3,case_03,Case 03: two robot corridor,単純な2台対向協調,Tier 2: simple coordination,True,True,0.09404320002067834,2,6.0,12.0,2,10,0,0,solved | orientation_lacam_v3,6.0,7,6,2,4,0,0,6.0,7,6,0,6,0,0,,,,,,,
OrientationLaCAMV3,case_04,Case 04: two robot with obstacle wall,障害物あり協調,Tier 3: obstacle helpful,False,True,0.10999220004305243,2,11.450000000000001,22.900000000000002,0,16,6,0,solved | orientation_lacam_v3,11.450000000000001,12,11,0,8,3,0,11.450000000000001,12,11,0,8,3,0,,,,,,,
OrientationLaCAMV3,case_04,Case 04: two robot with obstacle wall,障害物あり協調,Tier 3: obstacle helpful,True,True,0.0704307000269182,2,9.25,18.4,1,11,1,5,solved | orientation_lacam_v3,9.15,10,9,1,5,0,3,9.25,10,9,0,6,1,2,,,,,,,
OrientationLaCAMV3,case_a,Case A: move+rotate helpful,move+rotate 有効例,Tier 3: obstacle helpful,False,True,0.008135800017043948,1,7.15,7.15,0,6,1,0,solved | orientation_lacam_v3_single_agent_fast_path,7.15,8,7,0,6,1,0,,,,,,,,,,,,,,
OrientationLaCAMV3,case_a,Case A: move+rotate helpful,move+rotate 有効例,Tier 3: obstacle helpful,True,True,0.03773310000542551,1,6.05,6.05,0,5,0,1,solved | orientation_lacam_v3_single_agent_fast_path,6.05,7,6,0,5,0,1,,,,,,,,,,,,,,
OrientationLaCAMV3,case_b,Case B: move+rotate likely unhelpful,move+rotate 不要例,Tier 2: simple coordination,False,True,0.010999799997080117,2,6.0,12.0,0,12,0,0,solved | orientation_lacam_v3,6.0,7,6,0,6,0,0,6.0,7,6,0,6,0,0,,,,,,,
OrientationLaCAMV3,case_b,Case B: move+rotate likely unhelpful,move+rotate 不要例,Tier 2: simple coordination,True,True,0.04616799997165799,2,6.0,12.0,0,12,0,0,solved | orientation_lacam_v3,6.0,7,6,0,6,0,0,6.0,7,6,0,6,0,0,,,,,,,
OrientationLaCAMV3,case_c,Case C: coordination sensitive,干渉が強い協調ケース,Tier 4: hard coordination,False,True,0.19452700001420453,2,11.0,22.0,4,18,0,0,solved | orientation_lacam_v3,11.0,12,11,3,8,0,0,11.0,12,11,1,10,0,0,,,,,,,
OrientationLaCAMV3,case_c,Case C: coordination sensitive,干渉が強い協調ケース,Tier 4: hard coordination,True,True,1.3448209000052884,2,9.500000000000002,18.5,3,7,1,7,solved | orientation_lacam_v3,9.0,10,9,3,6,0,0,9.500000000000002,10,9,0,1,1,7,,,,,,,
OrientationLaCAMV3,case_d,Case D: 3-agent single bottleneck,3台が単一ボトルネックを共有し、通過順序で品質差が出るケース,Tier 4: hard coordination,False,True,7.0651718999724835,3,16.0,48.0,16,32,0,0,solved | orientation_lacam_v3,16.0,17,16,10,6,0,0,16.0,17,16,4,12,0,0,16.0,17,16,2,14,0,0
OrientationLaCAMV3,case_d,Case D: 3-agent single bottleneck,3台が単一ボトルネックを共有し、通過順序で品質差が出るケース,Tier 4: hard coordination,True,True,3.4121091999695636,3,15.2,45.4,12,27,1,5,solved | orientation_lacam_v3,15.0,16,15,9,6,0,0,15.2,16,15,3,8,0,4,15.2,16,15,0,13,1,1
OrientationLaCAMV3,case_e,Case E: 4-agent cross intersection,4方向から中央へ同時進入する十字交差ケース,Tier 4: hard coordination,False,False,42.61454830004368,4,,,,,,,max_high_level_expansions_exceeded | Exceeded max_high_level_expansions=20000,,,,,,,,,,,,,,,,,,,,,
OrientationLaCAMV3,case_e,Case E: 4-agent cross intersection,4方向から中央へ同時進入する十字交差ケース,Tier 4: hard coordination,True,False,16.24112449999666,4,,,,,,,max_high_level_expansions_exceeded | Exceeded max_high_level_expansions=20000,,,,,,,,,,,,,,,,,,,,,
OrientationLaCAMV3,case_f,Case F: pocket evacuation,退避ポケットを使うか待機するかで差が出るケース,Tier 4: hard coordination,False,True,1.2512058999855071,3,10.0,30.0,9,21,0,0,solved | orientation_lacam_v3,10.0,11,10,4,6,0,0,10.0,11,10,0,10,0,0,10.0,11,10,5,5,0,0
OrientationLaCAMV3,case_f,Case F: pocket evacuation,退避ポケットを使うか待機するかで差が出るケース,Tier 4: hard coordination,True,False,10.269703699974343,3,,,,,,,max_high_level_expansions_exceeded | Exceeded max_high_level_expansions=20000,,,,,,,,,,,,,,,,,,,,,
OrientationLaCAMV3,case_g,Case G: double bottleneck,2つの狭窄部をまたぐため局所最適に落ちやすいケース,Tier 4: hard coordination,False,False,32.57947629998671,4,,,,,,,max_high_level_expansions_exceeded | Exceeded max_high_level_expansions=20000,,,,,,,,,,,,,,,,,,,,,
OrientationLaCAMV3,case_g,Case G: double bottleneck,2つの狭窄部をまたぐため局所最適に落ちやすいケース,Tier 4: hard coordination,True,False,14.103819200012367,4,,,,,,,max_high_level_expansions_exceeded | Exceeded max_high_level_expansions=20000,,,,,,,,,,,,,,,,,,,,,
OrientationLaCAMV3,case_h,Case H: asymmetric orientation-critical,姿勢変更が本質的に効く非対称な強干渉ケース,Tier 4: hard coordination,False,False,16.56846460001543,3,,,,,,,max_high_level_expansions_exceeded | Exceeded max_high_level_expansions=20000,,,,,,,,,,,,,,,,,,,,,
OrientationLaCAMV3,case_h,Case H: asymmetric orientation-critical,姿勢変更が本質的に効く非対称な強干渉ケース,Tier 4: hard coordination,True,False,9.891555799986236,3,,,,,,,max_high_level_expansions_exceeded | Exceeded max_high_level_expansions=20000,,,,,,,,,,,,,,,,,,,,,
