planner_name,case_id,case_name,purpose,tier,enable_move_rotate,success,planning_time_sec,num_robots,makespan,sum_of_costs,total_wait,total_move,total_rotate,total_move_rotate,notes,R0_cost,R0_num_states,R0_num_transitions,R0_wait,R0_move,R0_rotate,R0_move_rotate,R1_cost,R1_num_states,R1_num_transitions,R1_wait,R1_move,R1_rotate,R1_move_rotate,R2_cost,R2_num_states,R2_num_transitions,R2_wait,R2_move,R2_rotate,R2_move_rotate
OrientationLaCAMv4,case_01,Case 01: rotation only,回転単体確認,Tier 1: primitive sanity,False,True,0.0057493000058457255,1,2.3,2.3,0,0,2,0,solved | orientation_lacam_v4_single_agent_fast_path,2.3,3,2,0,0,2,0,,,,,,,,,,,,,,
OrientationLaCAMv4,case_01,Case 01: rotation only,回転単体確認,Tier 1: primitive sanity,True,True,0.03458639996824786,1,2.3,2.3,0,0,2,0,solved | orientation_lacam_v4_single_agent_fast_path,2.3,3,2,0,0,2,0,,,,,,,,,,,,,,
OrientationLaCAMv4,case_02,Case 02: move+rotate,move+rotate 単体効果,Tier 1: primitive sanity,False,True,0.00660939997760579,1,3.15,3.15,0,2,1,0,solved | orientation_lacam_v4_single_agent_fast_path,3.15,4,3,0,2,1,0,,,,,,,,,,,,,,
OrientationLaCAMv4,case_02,Case 02: move+rotate,move+rotate 単体効果,Tier 1: primitive sanity,True,True,0.03506919997744262,1,2.05,2.05,0,1,0,1,solved | orientation_lacam_v4_single_agent_fast_path,2.05,3,2,0,1,0,1,,,,,,,,,,,,,,
OrientationLaCAMv4,case_03,Case 03: two robot corridor,単純な2台対向協調,Tier 2: simple coordination,False,True,0.024984999967273325,2,6.0,12.0,2,10,0,0,solved | orientation_lacam_v4,6.0,7,6,2,4,0,0,6.0,7,6,0,6,0,0,,,,,,,
OrientationLaCAMv4,case_03,Case 03: two robot corridor,単純な2台対向協調,Tier 2: simple coordination,True,True,0.12695310002891347,2,6.0,12.0,2,10,0,0,solved | orientation_lacam_v4,6.0,7,6,2,4,0,0,6.0,7,6,0,6,0,0,,,,,,,
OrientationLaCAMv4,case_04,Case 04: two robot with obstacle wall,障害物あり協調,Tier 3: obstacle helpful,False,True,0.01807590003591031,2,9.15,18.3,0,16,2,0,solved | orientation_lacam_v4,9.15,10,9,0,8,1,0,9.15,10,9,0,8,1,0,,,,,,,
OrientationLaCAMv4,case_04,Case 04: two robot with obstacle wall,障害物あり協調,Tier 3: obstacle helpful,True,True,0.08269129996187985,2,9.25,18.4,1,11,1,5,solved | orientation_lacam_v4,9.15,10,9,1,5,0,3,9.25,10,9,0,6,1,2,,,,,,,
OrientationLaCAMv4,case_a,Case A: move+rotate helpful,move+rotate 有効例,Tier 3: obstacle helpful,False,True,0.0080733000067994,1,7.15,7.15,0,6,1,0,solved | orientation_lacam_v4_single_agent_fast_path,7.15,8,7,0,6,1,0,,,,,,,,,,,,,,
OrientationLaCAMv4,case_a,Case A: move+rotate helpful,move+rotate 有効例,Tier 3: obstacle helpful,True,True,0.037685399991460145,1,6.05,6.05,0,5,0,1,solved | orientation_lacam_v4_single_agent_fast_path,6.05,7,6,0,5,0,1,,,,,,,,,,,,,,
