planner_name,case_id,case_name,purpose,tier,enable_move_rotate,success,planning_time_sec,num_robots,makespan,sum_of_costs,total_wait,total_move,total_rotate,total_move_rotate,notes,R0_cost,R0_num_states,R0_num_transitions,R0_wait,R0_move,R0_rotate,R0_move_rotate,R1_cost,R1_num_states,R1_num_transitions,R1_wait,R1_move,R1_rotate,R1_move_rotate,R2_cost,R2_num_states,R2_num_transitions,R2_wait,R2_move,R2_rotate,R2_move_rotate
OrientationLaCAMV5_1,case_01,Case 01: rotation only,回転単体確認,Tier 1: primitive sanity,False,True,0.006651800009422004,1,2.3,2.3,0,0,2,0,"solved | orientation_lacam_v5_1_single_agent_fast_path | diag:low_level_calls=0,low_level_queue_expansions=0,partial_constraint_expansions=0,pibt_calls=0,pibt_displacements=0,pibt_failures=0,successful_priority_orders=0,first_blocking_conflict_type=none",2.3,3,2,0,0,2,0,,,,,,,,,,,,,,
OrientationLaCAMV5_1,case_01,Case 01: rotation only,回転単体確認,Tier 1: primitive sanity,True,True,0.03478079999331385,1,2.3,2.3,0,0,2,0,"solved | orientation_lacam_v5_1_single_agent_fast_path | diag:low_level_calls=0,low_level_queue_expansions=0,partial_constraint_expansions=0,pibt_calls=0,pibt_displacements=0,pibt_failures=0,successful_priority_orders=0,first_blocking_conflict_type=none",2.3,3,2,0,0,2,0,,,,,,,,,,,,,,
OrientationLaCAMV5_1,case_02,Case 02: move+rotate,move+rotate 単体効果,Tier 1: primitive sanity,False,True,0.0062413999694399536,1,3.15,3.15,0,2,1,0,"solved | orientation_lacam_v5_1_single_agent_fast_path | diag:low_level_calls=0,low_level_queue_expansions=0,partial_constraint_expansions=0,pibt_calls=0,pibt_displacements=0,pibt_failures=0,successful_priority_orders=0,first_blocking_conflict_type=none",3.15,4,3,0,2,1,0,,,,,,,,,,,,,,
OrientationLaCAMV5_1,case_02,Case 02: move+rotate,move+rotate 単体効果,Tier 1: primitive sanity,True,True,0.050808100029826164,1,2.05,2.05,0,1,0,1,"solved | orientation_lacam_v5_1_single_agent_fast_path | diag:low_level_calls=0,low_level_queue_expansions=0,partial_constraint_expansions=0,pibt_calls=0,pibt_displacements=0,pibt_failures=0,successful_priority_orders=0,first_blocking_conflict_type=none",2.05,3,2,0,1,0,1,,,,,,,,,,,,,,
OrientationLaCAMV5_1,case_03,Case 03: two robot corridor,単純な2台対向協調,Tier 2: simple coordination,False,True,0.00959199998760596,2,6.0,12.0,2,10,0,0,"solved | orientation_lacam_v5_1 | diag:low_level_calls=6,low_level_queue_expansions=18,partial_constraint_expansions=6,pibt_calls=27,pibt_displacements=0,pibt_failures=2,successful_priority_orders=12,first_blocking_conflict_type=state_overlap",6.0,7,6,2,4,0,0,6.0,7,6,0,6,0,0,,,,,,,
OrientationLaCAMV5_1,case_03,Case 03: two robot corridor,単純な2台対向協調,Tier 2: simple coordination,True,True,0.052190500020515174,2,6.1,12.2,2,6,0,4,"solved | orientation_lacam_v5_1 | diag:low_level_calls=11,low_level_queue_expansions=82,partial_constraint_expansions=60,pibt_calls=66,pibt_displacements=4,pibt_failures=20,successful_priority_orders=20,first_blocking_conflict_type=state_overlap",6.1,7,6,2,2,0,2,6.1,7,6,0,4,0,2,,,,,,,
OrientationLaCAMV5_1,case_04,Case 04: two robot with obstacle wall,障害物あり協調,Tier 3: obstacle helpful,False,False,0.010522000025957823,2,,,,,,,"search_failed | open list exhausted | diag:low_level_calls=8,low_level_queue_expansions=16,partial_constraint_expansions=0,pibt_calls=32,pibt_displacements=0,pibt_failures=0,successful_priority_orders=16,first_blocking_conflict_type=none",,,,,,,,,,,,,,,,,,,,,
OrientationLaCAMV5_1,case_04,Case 04: two robot with obstacle wall,障害物あり協調,Tier 3: obstacle helpful,True,True,0.04576930002076551,2,9.25,18.4,1,11,1,5,"solved | orientation_lacam_v5_1 | diag:low_level_calls=9,low_level_queue_expansions=18,partial_constraint_expansions=0,pibt_calls=36,pibt_displacements=0,pibt_failures=0,successful_priority_orders=18,first_blocking_conflict_type=none",9.15,10,9,1,5,0,3,9.25,10,9,0,6,1,2,,,,,,,
OrientationLaCAMV5_1,case_a,Case A: move+rotate helpful,move+rotate 有効例,Tier 3: obstacle helpful,False,True,0.008609800017438829,1,7.15,7.15,0,6,1,0,"solved | orientation_lacam_v5_1_single_agent_fast_path | diag:low_level_calls=0,low_level_queue_expansions=0,partial_constraint_expansions=0,pibt_calls=0,pibt_displacements=0,pibt_failures=0,successful_priority_orders=0,first_blocking_conflict_type=none",7.15,8,7,0,6,1,0,,,,,,,,,,,,,,
OrientationLaCAMV5_1,case_a,Case A: move+rotate helpful,move+rotate 有効例,Tier 3: obstacle helpful,True,True,0.037976000050548464,1,6.05,6.05,0,5,0,1,"solved | orientation_lacam_v5_1_single_agent_fast_path | diag:low_level_calls=0,low_level_queue_expansions=0,partial_constraint_expansions=0,pibt_calls=0,pibt_displacements=0,pibt_failures=0,successful_priority_orders=0,first_blocking_conflict_type=none",6.05,7,6,0,5,0,1,,,,,,,,,,,,,,
